index	example	label_ex	sentiment_ex	review_len	label_counter	sentiment_counter	paired_id	counterfactual
897	nothing denis has made before , like beau travil and nenette et boni , could prepare us for this gory , perverted , sex-soaked riff on the cannibal genre .	1	positive	30	0	negative	79	None
2046	a disturbing examination of what appears to be the definition of a 'bad' police shooting .	1	positive	16	0	negative	80	None
3526	it's incredible the number of stories the holocaust has generated . just when you think that every possible angle has been exhausted by documentarians , another new film emerges with yet another remarkable yet shockingly little-known perspective .	1	positive	38	0	negative	81	None
2500	it's bright , pristine style and bold colors make it as much fun as reading an oversized picture book before bedtime .	1	positive	22	0	negative	82	None
6605	spousal abuse is a major problem in contemporary society , but the film reduces this domestic tragedy to florid melodrama .	0	negative	21	1	positive	83	None
8123	the film is weighed down by supporting characters who are either too goodly , wise and knowing or downright comically evil .	0	negative	22	1	positive	84	None
7179	de niro may enjoy the same free ride from critics afforded to clint eastwood in the lazy bloodwork . but like bruce springsteen's gone-to-pot asbury park , new jersey , this sad-sack waste of a movie is a city of ruins .	0	negative	42	1	positive	85	None
997	skillful as he is , mr . shyamalan is undone by his pretensions .	0	negative	14	1	positive	86	None
271	parker holds true to wilde's own vision of a pure comedy with absolutely no meaning , and no desire to be anything but a polished , sophisticated entertainment that is in love with its own cleverness .	1	positive	37	0	negative	87	None
6413	the lack of opposing viewpoints soon grows tiresome -- the film feels more like a series of toasts at a testimonial dinner than a documentary .	0	negative	26	1	positive	88	None
5155	bears about as much resemblance to the experiences of most battered women as spider-man does to the experiences of most teenagers .	0	negative	22	1	positive	89	None
2131	this may be burns's strongest film since the brothers mcmullen .	1	positive	11	0	negative	90	None
7791	if the idea of the white man arriving on foreign shores to show wary natives the true light is abhorrent to you , the simplistic heaven will quite likely be more like hell .	0	negative	34	1	positive	91	None
6149	like watching a dress rehearsal the week before the show goes up : everything's in place but something's just a little off-kilter .	0	negative	23	1	positive	92	None
6130	the film's tone and pacing are off almost from the get-go .	0	negative	12	1	positive	93	None
572	girlfriends are bad , wives are worse and babies are the kiss of death in this bitter italian comedy .	0	negative	20	1	positive	94	None
2355	secretary manages a neat trick , bundling the flowers of perversity , comedy and romance into a strangely tempting bouquet of a movie .	1	positive	24	0	negative	95	None
7390	just the sort of lazy tearjerker that gives movies about ordinary folk a bad name .	0	negative	16	1	positive	96	None
5028	the film itself is about something very interesting and odd that would probably work better as a real documentary without the insinuation of mediocre acting or a fairly trite narrative .	0	negative	31	1	positive	97	None
8296	a low-budget affair , tadpole was shot on digital video , and the images often look smeary and blurry , to the point of distraction . then again , in a better movie , you might not have noticed .	0	negative	40	1	positive	98	None
2514	a brilliant gag at the expense of those who paid for it and those who pay to see it .	1	positive	20	0	negative	99	None
6300	for anyone who grew up on disney's 1950 treasure island , or remembers the 1934 victor fleming classic , this one feels like an impostor .	0	negative	26	1	positive	100	None
4027	using an endearing cast , writer/director dover kosashvili takes a slightly dark look at relationships , both sexual and kindred .	1	positive	21	0	negative	101	None
336	the pianist is a fine valedictory work for polanski , made richer by his own experiences , making his other movies somehow richer in the bargain .	1	positive	27	0	negative	102	None
8336	you may be galled that you've wasted nearly two hours of your own precious life with this silly little puddle of a movie .	0	negative	24	1	positive	103	None
681	supposedly based upon real , or at least soberly reported incidents , the film ends with a large human tragedy . alas , getting there is not even half the interest .	0	negative	32	1	positive	104	None
601	compelling as it is exotic , fast runner has a plot that rivals shakespeare for intrigue , treachery and murder .	1	positive	21	0	negative	105	None
3987	the spaniel-eyed jean reno infuses hubert with a mixture of deadpan cool , wry humor and just the measure of tenderness required to give this comic slugfest some heart .	1	positive	30	0	negative	106	None
6075	it's mighty tedious for the viewer who has to contend with unpleasant characters , hit-and-miss performances and awkwardly staged scenes .	0	negative	21	1	positive	107	None
221	to call this one an eventual cult classic would be an understatement , and woe is the horror fan who opts to overlook this goofily endearing and well-lensed gorefest .	1	positive	30	0	negative	108	None
2154	if the film has a problem , its shortness disappoints : you want the story to go on and on .	1	positive	21	0	negative	109	None
2102	a fast paced and suspenseful argentinian thriller about the shadow side of play .	1	positive	14	0	negative	110	None
2404	begins like a docu-drama but builds its multi-character story with a flourish .	1	positive	13	0	negative	111	None
4893	. . . this isn't even a movie we can enjoy as mild escapism ; it is one in which fear and frustration are provoked to intolerable levels .	0	negative	29	1	positive	112	None
4243	with spy kids 2 : the island of lost dreams , the spy kids franchise establishes itself as a durable part of the movie landscape : a james bond series for kids .	1	positive	33	0	negative	113	None
7985	according to the script , grant and bullock's characters are made for each other . but you'd never guess that from the performances .	0	negative	24	1	positive	114	None
4433	with or without ballast tanks , k-19 sinks to a harrison ford low .	0	negative	14	1	positive	115	None
5330	a jumbled fantasy comedy that did not figure out a coherent game plan at scripting , shooting or post-production stages .	0	negative	21	1	positive	116	None
584	this version incarnates the prophetic book in a way even its exacting author might admire .	1	positive	16	0	negative	117	None
835	a worthy entry into a very difficult genre .	1	positive	9	0	negative	118	None
1858	amari has dressed up this little parable in a fairly irresistible package full of privileged moments and memorable performances .	1	positive	20	0	negative	119	None
6005	i'll bet the video game is a lot more fun than the film .	0	negative	14	1	positive	120	None
2982	the obnoxious title character provides the drama that gives added clout to this doc .	1	positive	15	0	negative	121	None
301	there is something that is so meditative and lyrical about babak payami's boldly quirky iranian drama secret ballot . . . a charming and evoking little ditty that manages to show the gentle and humane side of middle eastern world politics	1	positive	41	0	negative	122	None
3042	the rich performances by friel -- and especially williams , an american actress who becomes fully english -- round out the square edges .	1	positive	24	0	negative	123	None
954	thrilling , provocative and darkly funny , this timely sci-fi mystery works on so many different levels that it not only invites , it demands repeated viewings .	1	positive	28	0	negative	124	None
3965	bluer than the atlantic and more biologically detailed than an autopsy , the movie . . . is , also , frequently hilarious .	1	positive	24	0	negative	125	None
6970	the situations and jokes are as predictable and as lowbrow as the endless pratfalls the boys take in their high heels .	0	negative	22	1	positive	126	None
3961	disappointingly , the characters are too strange and dysfunctional , tom included , to ever get under the skin , but this is compensated in large part by the off-the-wall dialogue , visual playfulness and the outlandishness of the idea itself .	1	positive	42	0	negative	127	None
4044	more concerned with overall feelings , broader ideas , and open-ended questions than concrete story and definitive answers , soderbergh's solaris is a gorgeous and deceptively minimalist cinematic tone poem .	1	positive	31	0	negative	128	None
208	peter jackson has done the nearly impossible . he has improved upon the first and taken it a step further , richer and deeper . what jackson has done is proven that no amount of imagination , no creature , no fantasy story and no incredibly outlandish scenery	1	positive	48	0	negative	129	None
4682	i don't even care that there's no plot in this antonio banderas-lucy liu faceoff . it's still terrible !	0	negative	19	1	positive	130	None
3728	an exceptionally acted , quietly affecting cop drama .	1	positive	9	0	negative	131	None
27	an idealistic love story that brings out the latent 15-year-old romantic in everyone .	1	positive	14	0	negative	132	None
5196	about one in three gags in white's intermittently wise script hits its mark ; the rest are padding unashamedly appropriated from the teen-exploitation playbook .	0	negative	25	1	positive	133	None
3549	it's probably worth catching solely on its visual merits . if only it had the story to match .	1	positive	19	0	negative	134	None
256	it ultimately stands forth as an important chronicle of the abuses of one of latin america's most oppressive regimes .	1	positive	20	0	negative	135	None
3890	the result is somewhat satisfying -- it still comes from spielberg , who has never made anything that wasn't at least watchable . but it's also disappointing to a certain degree .	1	positive	32	0	negative	136	None
4304	curling may be a unique sport but men with brooms is distinctly ordinary .	0	negative	14	1	positive	137	None
8229	enthusiastically taking up the current teen movie concern with bodily functions , walt becker's film pushes all the demographically appropriate comic buttons .	0	negative	23	1	positive	138	None
2295	the mood , look and tone of the film fit the incredible storyline to a t .	1	positive	17	0	negative	139	None
897	there is more than one joke about putting the toilet seat down . and that should tell you everything you need to know about all the queen's men .	0	negative	29	1	positive	140	None
6916	well-shot but badly written tale set in a future ravaged by dragons .	0	negative	13	1	positive	141	None
981	this will go on so long as there are moviegoers anxious to see strange young guys doing strange guy things .	0	negative	21	1	positive	142	None
5394	contrived , awkward and filled with unintended laughs , the film shows signs that someone other than the director got into the editing room and tried to improve things by making the movie go faster .	0	negative	36	1	positive	143	None
6531	i kept thinking over and over again , 'i should be enjoying this . ' but i wasn't .	0	negative	19	1	positive	144	None
8036	kids don't mind crappy movies as much as adults , provided there's lots of cute animals and clumsy people . 'snow dogs' has both .	0	negative	25	1	positive	145	None
5696	it's a film with an idea buried somewhere inside its fabric , but never clearly seen or felt .	0	negative	19	1	positive	146	None
3283	it's the brilliant surfing photography bringing you right inside the massive waves that lifts blue crush into one of the summer's most pleasurable movies .	1	positive	25	0	negative	147	None
8055	the sweetest thing leaves an awful sour taste .	0	negative	9	1	positive	148	None
1664	"too often , son of the bride becomes an exercise in trying to predict when a preordained "" big moment "" will occur and not "" if . """	1	positive	29	0	negative	149	None
3005	its adult themes of familial separation and societal betrayal are head and shoulders above much of the director's previous popcorn work .	1	positive	22	0	negative	150	None
1510	there's a wickedly subversive bent to the best parts of birthday girl .	1	positive	13	0	negative	151	None
2281	its cast full of caffeinated comedy performances more than make up for its logical loopholes , which fly by so fast there's no time to think about them anyway .	1	positive	30	0	negative	152	None
7712	though jones and snipes are enthralling , the movie bogs down in rhetoric and cliché .	0	negative	16	1	positive	153	None
7749	frida is certainly no disaster , but neither is it the kahlo movie frida fans have been looking for .	0	negative	20	1	positive	154	None
412	at its best . . . festival in cannes bubbles with the excitement of the festival in cannes .	1	positive	19	0	negative	155	None
107	4 friends , 2 couples , 2000 miles , and all the pabst blue ribbon beer they can drink - it's the ultimate redneck road-trip .	1	positive	26	0	negative	156	None
992	it's [ricci's] best work yet , this girl-woman who sincerely believes she can thwart the world's misery with blind good will .	1	positive	22	0	negative	157	None
878	little more than a stylish exercise in revisionism whose point . . . is no doubt true , but serves as a rather thin moral to such a knowing fable .	0	negative	31	1	positive	158	None
2954	it's a fun adventure movie for kids ( of all ages ) that like adventure .	1	positive	16	0	negative	159	None
1632	writer/director alexander payne ( election ) and his co-writer jim taylor brilliantly employ their quirky and fearless ability to look american angst in the eye and end up laughing .	1	positive	30	0	negative	160	None
4571	this is the sort of low-grade dreck that usually goes straight to video --with a lousy script , inept direction , pathetic acting , poorly dubbed dialogue and murky cinematography , complete with visible boom mikes .	0	negative	37	1	positive	161	None
171	demonstrates a vivid imagination and an impressive style that result in some terrific setpieces .	1	positive	15	0	negative	162	None
2	"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists ."	1	positive	24	0	negative	163	None
2159	the bai brothers have taken an small slice of history and opened it up for all of us to understand , and they've told a nice little story in the process .	1	positive	32	0	negative	164	None
2916	it's not just a feel-good movie , it's a feel movie . you feel good , you feel sad , you feel pissed off , but in the end , you feel alive - which is what they did .	1	positive	40	0	negative	165	None
6222	on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality .	0	negative	21	1	positive	166	None
3204	with 'bowling for columbine , ' michael moore gives us the perfect starting point for a national conversation about guns , violence , and fear .	1	positive	26	0	negative	167	None
728	the punch lines that miss , unfortunately , outnumber the hits by three-to-one . but death to smoochy keeps firing until the bitter end .	0	negative	25	1	positive	168	None
1336	by the end of the movie , you're definitely convinced that these women are spectacular .	1	positive	16	0	negative	169	None
5690	they ought to be a whole lot scarier than they are in this tepid genre offering .	0	negative	17	1	positive	170	None
6375	literally nothing in the pool is new , but if you grew up on the stalker flicks of the 1980's this one should appease you for 90 minutes .	0	negative	29	1	positive	171	None
579	[director peter] jackson and his crew have so steeped themselves in the majesty of tolkien's writing that every frame produces new joys , whether you're a fan of the books or not .	1	positive	33	0	negative	172	None
59	"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow ."	1	positive	30	0	negative	173	None
702	the ethos of the chelsea hotel may shape hawke's artistic aspirations , but he hasn't yet coordinated his own dv poetry with the beat he hears in his soul .	0	negative	30	1	positive	174	None
100	symbolically , warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal .	1	positive	25	0	negative	175	None
1699	stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid .	1	positive	25	0	negative	176	None
901	a stunning piece of visual poetry that will , hopefully , be remembered as one of the most important stories to be told in australia's film history .	1	positive	28	0	negative	177	None
5915	makes for some truly odd , at times confusing , kids entertainment . . . but at least this time there's some centered storytelling to go along with all the weird stuff .	0	negative	33	1	positive	178	None
76	"a screenplay more ingeniously constructed than "" memento """	1	positive	9	0	negative	179	None
5071	clockstoppers is one of those crazy , mixed-up films that doesn't know what it wants to be when it grows up .	0	negative	22	1	positive	180	None
583	an offbeat , sometimes gross and surprisingly appealing animated film about the true meaning of the holidays .	1	positive	18	0	negative	181	None
497	insomnia loses points when it surrenders to a formulaic bang-bang , shoot-em-up scene at the conclusion . but the performances of pacino , williams , and swank keep the viewer wide-awake all the way through .	1	positive	36	0	negative	182	None
2560	it may not be history  but then again , what if it is ?  but it makes for one of the most purely enjoyable and satisfying evenings at the movies i've had in a while .	1	positive	38	0	negative	183	None
682	although life or something like it is very much in the mold of feel-good movies , the cast and director stephen herek's polished direction pour delightfully piquant wine from aged bottles .	1	positive	32	0	negative	184	None
1651	an enthralling aesthetic experience , one that's steeped in mystery and a ravishing , baroque beauty .	1	positive	17	0	negative	185	None
2598	deserves a place of honor next to nanook as a landmark in film history .	1	positive	15	0	negative	186	None
4238	beating the austin powers films at their own game , this blaxploitation spoof downplays the raunch in favor of gags that rely on the strength of their own cleverness as opposed to the extent of their outrageousness .	1	positive	38	0	negative	187	None
2304	. . . plenty of warmth to go around , with music and laughter and the love of family .	1	positive	20	0	negative	188	None
6337	stars matthew perry and elizabeth hurley illicit more than a chuckle , and more jokes land than crash , but ultimately serving sara doesn't distinguish itself from the herd .	0	negative	30	1	positive	189	None
8349	ultimately the , yes , snail-like pacing and lack of thematic resonance make the film more silly than scary , like some sort of martha stewart decorating program run amok .	0	negative	31	1	positive	190	None
5751	if oscar had a category called best bad film you thought was going to be really awful but wasn't , guys would probably be duking it out with the queen of the damned for the honor .	0	negative	37	1	positive	191	None
7476	deliberately and devotedly constructed , far from heaven is too picture postcard perfect , too neat and new pin-like , too obviously a recreation to resonate .	0	negative	27	1	positive	192	None
629	the movie addresses a hungry need for pg-rated , nonthreatening family movies , but it doesn't go too much further .	1	positive	21	0	negative	193	None
3795	cage makes an unusual but pleasantly haunting debut behind the camera .	1	positive	12	0	negative	194	None
2063	while general audiences might not come away with a greater knowledge of the facts of cuban music , they'll be treated to an impressive and highly entertaining celebration of its sounds .	1	positive	32	0	negative	195	None
4420	it has plenty of laughs . it just doesn't have much else . . . especially in a moral sense .	0	negative	21	1	positive	196	None
6718	this film's relationship to actual tension is the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .	0	negative	30	1	positive	197	None
396	it's easy to be cynical about documentaries in which underdogs beat the odds and the human spirit triumphs , but westbrook's foundation and dalrymple's film earn their uplift .	1	positive	29	0	negative	198	None
6423	roger michell , who did an appealing job directing persuasion and notting hill in england , gets too artsy in his american debut .	0	negative	24	1	positive	199	None
1311	a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution .	1	positive	22	0	negative	200	None
6491	the final result makes for adequate entertainment , i suppose , but anyone who has seen chicago on stage will leave the theater feeling they've watched nothing but a pale imitation of the real deal .	0	negative	36	1	positive	201	None
6019	a better title , for all concerned , might be swept under the rug .	0	negative	15	1	positive	202	None
1312	seldom has a movie so closely matched the spirit of a man and his work .	1	positive	16	0	negative	203	None
7341	even if it ultimately disappoints , the picture does have about a matinee admission's worth of funny to keep it afloat .	0	negative	22	1	positive	204	None
6049	if you're a wwf fan , or you related to the people who watched the robots getting butchered in a . i . , you'll probably like rollerball .	0	negative	29	1	positive	205	None
6755	bartleby is a one-joke movie , and a bad joke at that .	0	negative	13	1	positive	206	None
252	i've yet to find an actual vietnam war combat movie actually produced by either the north or south vietnamese , but at least now we've got something pretty damn close .	1	positive	31	0	negative	207	None
2320	if cinema had been around to capture the chaos of france in the 1790's , one imagines the result would look like something like this .	1	positive	26	0	negative	208	None
2045	gaunt , silver-haired and leonine , [harris] brings a tragic dimension and savage full-bodied wit and cunning to the aging sandeman .	1	positive	22	0	negative	209	None
6181	it's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth .	0	negative	19	1	positive	210	None
4795	jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .	0	negative	14	1	positive	211	None
1015	true to its title , it traps audiences in a series of relentlessly nasty situations that we would pay a considerable ransom not to be looking at .	0	negative	28	1	positive	212	None
1163	dense with characters and contains some thrilling moments .	1	positive	9	0	negative	213	None
2870	its director's most substantial feature for some time .	1	positive	9	0	negative	214	None
6212	like the chelsea's denizens . . . burdette's collage-form scenario tends to over-romanticize the spiritual desolation of the struggling artiste .	0	negative	21	1	positive	215	None
5389	has a customarily jovial air but a deficit of flim-flam inventiveness .	0	negative	12	1	positive	216	None
7662	her film is like a beautiful food entrée that isn't heated properly , so that it ends up a bit cold and relatively flavorless .	0	negative	25	1	positive	217	None
5936	it takes a certain kind of horror movie to qualify as 'worse than expected , ' but ghost ship somehow manages to do exactly that .	0	negative	26	1	positive	218	None
8125	the film is so bad it doesn't improve upon the experience of staring at a blank screen .	0	negative	18	1	positive	219	None
56	williams absolutely nails sy's queasy infatuation and overall strangeness .	1	positive	10	0	negative	220	None
2178	it's no lie -- big fat liar is a real charmer .	1	positive	12	0	negative	221	None
496	you will likely prefer to keep on watching .	1	positive	9	0	negative	222	None
1035	director tom shadyac and star kevin costner glumly mishandle the story's promising premise of a physician who needs to heal himself .	0	negative	22	1	positive	223	None
1563	opening with some contrived banter , cliches and some loose ends , the screenplay only comes into its own in the second half .	1	positive	24	0	negative	224	None
2028	funny , somber , absurd , and , finally , achingly sad , bartleby is a fine , understated piece of filmmaking .	1	positive	23	0	negative	225	None
4504	its weighty themes are too grave for youngsters , but the story is too steeped in fairy tales and other childish things to appeal much to teenagers .	0	negative	28	1	positive	226	None
5033	a sub-formulaic slap in the face to seasonal cheer .	0	negative	10	1	positive	227	None
4596	in the wake of saving private ryan , black hawk down and we were soldiers , you are likely to be as heartily sick of mayhem as cage's war-weary marine .	0	negative	31	1	positive	228	None
5335	two big things are missing -- anything approaching a visceral kick , and anything approaching even a vague reason to sit through it all .	0	negative	25	1	positive	229	None
4567	this is a movie so insecure about its capacity to excite that it churns up not one but two flagrantly fake thunderstorms to underscore the action .	0	negative	27	1	positive	230	None
4239	this is a dark , gritty , sometimes funny little gem .	1	positive	12	0	negative	231	None
467	you never know where changing lanes is going to take you but it's a heck of a ride . samuel l . jackson is one of the best actors there is .	1	positive	32	0	negative	232	None
