index	text	labels	sentiment	review_len
3305	an infinitely wittier version of the home alone formula .	1	positive	10
2344	funny , sexy , devastating and incurably romantic .	1	positive	9
1442	the most compelling wiseman epic of recent years .	1	positive	9
286	evokes the 19th century with a subtlety that is an object lesson in period filmmaking .	1	positive	16
7088	i watched the brainless insanity of no such thing with mounting disbelief .	0	negative	13
256	it ultimately stands forth as an important chronicle of the abuses of one of latin america's most oppressive regimes .	1	positive	20
4637	a movie you observe , rather than one you enter into .	0	negative	12
7260	this is a good movie in spurts , but when it doesn't work , it's at important times .	0	negative	19
34	hugh grant , who has a good line in charm , has never been more charming than in about a boy .	1	positive	22
8318	purposefully shocking in its eroticized gore , if unintentionally dull in its lack of poetic frissons .	0	negative	17
4561	. . . jones , despite a definitely distinctive screen presence , just isn't able to muster for a movie that , its title notwithstanding , should have been a lot nastier if it wanted to fully capitalize on its lead's specific gifts .	0	negative	44
225	mr . parker has brilliantly updated his source and grasped its essence , composing a sorrowful and hilarious tone poem about alienated labor , or an absurdist workplace sitcom .	1	positive	30
2404	begins like a docu-drama but builds its multi-character story with a flourish .	1	positive	13
6865	technically , the film is about as interesting as an insurance commercial .	0	negative	13
768	a startling and fresh examination of how the bike still remains an ambiguous icon in chinese society .	1	positive	18
170	most of crush is a clever and captivating romantic comedy with a welcome pinch of tartness .	1	positive	17
3377	"some of the most ravaging , gut-wrenching , frightening war scenes since "" saving private ryan "" have been recreated by john woo in this little-known story of native americans and their role in the second great war ."	1	positive	39
5043	the heedless impetuousness of youth is on full , irritating display in [this] meandering and pointless french coming-of-age import from writer-director anne-sophie birot .	0	negative	24
4849	the master of disguise represents adam sandler's latest attempt to dumb down the universe .	0	negative	15
22	grown-up quibbles are beside the point here . the little girls understand , and mccracken knows that's all that matters .	1	positive	21
3721	. . . an interesting slice of history .	1	positive	9
62	this is one of those rare docs that paints a grand picture of an era and makes the journey feel like a party .	1	positive	24
2258	you just know something terrible is going to happen . but when it does , you're entirely unprepared .	1	positive	19
635	not so much a movie as a picture book for the big screen . this isn't my favorite in the series , still i enjoyed it enough to recommend .	1	positive	30
3875	though jackson doesn't always succeed in integrating the characters in the foreground into the extraordinarily rich landscape , it must be said that he is an imaginative filmmaker who can see the forest for the trees .	1	positive	37
548	possession is elizabeth barrett browning meets nancy drew , and it's directed by . . . neil labute . hmm .	1	positive	21
160	the film is faithful to what one presumes are the book's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are .	1	positive	55
6063	in its own way , joshua is as blasphemous and nonsensical as a luis buñuel film without the latter's attendant intelligence , poetry , passion , and genius .	0	negative	29
5446	at a time when we've learned the hard way just how complex international terrorism is , collateral damage paints an absurdly simplistic picture .	0	negative	24
923	francophiles will snicker knowingly and you'll want to slap them .	1	positive	11
815	it's a refreshing change from the self-interest and paranoia that shape most american representations of castro .	1	positive	17
3909	the sentimental script has problems , but the actors pick up the slack .	1	positive	14
5738	an incoherent jumble of a film that's rarely as entertaining as it could have been .	0	negative	16
3682	to get at the root psychology of this film would require many sessions on the couch of dr . freud .	1	positive	21
5198	reno does what he can in a thankless situation , the film ricochets from humor to violence and back again , and ryoko hirosue makes us wonder if she is always like that .	0	negative	34
7749	frida is certainly no disaster , but neither is it the kahlo movie frida fans have been looking for .	0	negative	20
497	insomnia loses points when it surrenders to a formulaic bang-bang , shoot-em-up scene at the conclusion . but the performances of pacino , williams , and swank keep the viewer wide-awake all the way through .	1	positive	36
707	the movie's downfall is to substitute plot for personality . it doesn't really know or care about the characters , and uses them as markers for a series of preordained events .	0	negative	32
1288	is this love or is it masochism ? binoche makes it interesting trying to find out .	1	positive	17
4448	just too silly and sophomoric to ensnare its target audience .	0	negative	11
5300	the movie has a script ( by paul pender ) made of wood , and it's relentlessly folksy , a procession of stagy set pieces stacked with binary oppositions .	0	negative	30
6490	an afterschool special without the courage of its convictions .	0	negative	10
7673	yet another entry in the sentimental oh-those-wacky-brits genre that was ushered in by the full monty and is still straining to produce another smash hit .	0	negative	26
5982	but the power of these [subjects] is obscured by the majority of the film that shows a stationary camera on a subject that could be mistaken for giving a public oration , rather than contributing to a film's narrative .	0	negative	40
4291	our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender  and i know this because i've seen 'jackass : the movie . '	0	negative	33
1434	the film is quiet , threatening and unforgettable .	1	positive	9
7074	sucking all the 'classic' out of robert louis stevenson's treasure island and filling the void with sci-fi video game graphics and disney-fied adolescent angst . . .	0	negative	27
5330	a jumbled fantasy comedy that did not figure out a coherent game plan at scripting , shooting or post-production stages .	0	negative	21
7050	dreary , highly annoying . . . 'some body' will appeal to no one .	0	negative	15
3713	dong shows how intolerance has the power to deform families , then tear them apart .	1	positive	16
6454	ritchie's treatment of the class reversal is majorly ham-fisted , from the repetitive manifestos that keep getting thrown in people's faces to the fact amber is such a joke .	0	negative	30
1738	"[haynes'] homage to such films as "" all that heaven allows "" and "" imitation of life "" transcends them . simply put , "" far from heaven "" is a masterpiece ."	1	positive	33
6413	the lack of opposing viewpoints soon grows tiresome -- the film feels more like a series of toasts at a testimonial dinner than a documentary .	0	negative	26
655	despite the opulent lushness of every scene , the characters never seem to match the power of their surroundings .	0	negative	20
159	its mysteries are transparently obvious , and it's too slowly paced to be a thriller . [but it's] worth recommending because of two marvelous performances by michael caine and brendan fraser .	1	positive	32
187	those outside show business will enjoy a close look at people they don't really want to know .	1	positive	18
1084	while the stoically delivered hokum of hart's war is never fun , it's still a worthy addition to the growing canon of post-saving private ryan tributes to the greatest generation .	1	positive	31
737	it's supposed to be post-feminist breezy but ends up as tedious as the chatter of parrots raised on oprah .	0	negative	20
5623	a movie that can't get sufficient distance from leroy's delusions to escape their maudlin influence .	0	negative	16
7458	hardman is a grating , mannered onscreen presence , which is especially unfortunate in light of the fine work done by most of the rest of her cast .	0	negative	29
7045	the new faces are interesting , but the old story isn't , especially when it starts to seem more improvised than scripted .	0	negative	23
7390	just the sort of lazy tearjerker that gives movies about ordinary folk a bad name .	0	negative	16
7974	just a bunch of good actors flailing around in a caper that's neither original nor terribly funny .	0	negative	18
7426	the plot's clearly mythic structure may owe more to disney's strong sense of formula than to the original story . but while the highly predictable narrative falls short , treasure planet is truly gorgeous to behold .	0	negative	37
6535	just like hearst's enormous yacht , it's slow and unwieldy and takes a long time to reach its destination .	0	negative	20
5992	an unpredictable blend of gal-pal smart talk , romantic comedy and dark tragedy that bites off considerably more than writer/director john mckay can swallow .	0	negative	25
2723	sex is one of those films that aims to confuse .	1	positive	11
1954	at the end , when the now computerized yoda finally reveals his martial artistry , the film ascends to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside .	1	positive	35
2320	if cinema had been around to capture the chaos of france in the 1790's , one imagines the result would look like something like this .	1	positive	26
1446	liotta put on 30 pounds for the role , and has completely transformed himself from his smooth , goodfellas image .	1	positive	21
668	"watching "" ending "" is too often like looking over the outdated clothes and plastic knickknacks at your neighbor's garage sale . you can't believe anyone would really buy this stuff ."	0	negative	32
5755	since the movie is based on a nicholas sparks best seller , you know death is lurking around the corner , just waiting to spoil things .	0	negative	27
1410	if the first men in black was money , the second is small change . but it still jingles in the pocket . it's fun lite .	1	positive	27
6031	it's a grab bag of genres that don't add up to a whole lot of sense .	0	negative	17
4253	despite these annoyances , the capable clayburgh and tambor really do a great job of anchoring the characters in the emotional realities of middle age .	1	positive	26
7513	it made me realize that we really haven't had a good cheesy b-movie playing in theaters since . . . well . . . since last week's reign of fire .	0	negative	31
3855	it lets you brush up against the humanity of a psycho , without making him any less psycho .	1	positive	19
4090	worth a salute just for trying to be more complex than your average film .	1	positive	15
6680	""" juwanna mann ? "" no thanks . wewannour money back , actually ."	0	negative	14
1870	with each of her three protagonists , miller eloquently captures the moment when a woman's life , out of a deep-seated , emotional need , is about to turn onto a different path .	1	positive	34
7540	roman polanski directs the pianist like a surgeon mends a broken heart ; very meticulously but without any passion .	0	negative	20
8046	the rock has a great presence but one battle after another is not the same as one battle followed by killer cgi effects .	0	negative	24
3725	brings together some of the biggest names in japanese anime , with impressive results .	1	positive	15
7281	strong setup and ambitious goals fade as the film descends into unsophisticated scare tactics and b-film thuggery .	0	negative	18
5614	the santa clause 2's plot may sound like it was co-written by mattel executives and lobbyists for the tinsel industry .	0	negative	21
6446	even those of a single digit age will be able to recognize that this story is too goofy . . . even for disney .	0	negative	25
6998	it almost plays like solaris , but with guns and jokes .	0	negative	12
757	rumor , a muddled drama about coming to terms with death , feels impersonal , almost generic .	0	negative	18
265	an impressive debut for first-time writer-director mark romanek , especially considering his background is in music video .	1	positive	18
411	a hip ride into hyper-time , clockstoppers is a lively and enjoyable adventure for all ages at any time .	1	positive	20
7936	after the setup , the air leaks out of the movie , flattening its momentum with about an hour to go .	0	negative	22
1176	if your taste runs to 'difficult' films you absolutely can't miss it .	1	positive	13
1817	high crimes knows the mistakes that bad movies make and is determined not to make them , and maybe that is nobility of a sort .	1	positive	26
3186	at its best ( and it does have some very funny sequences ) looking for leonard reminds you just how comically subversive silence can be .	1	positive	26
2089	director claude chabrol has become the master of innuendo . it is not what you see , it is what you think you see .	1	positive	25
7933	formula 51 has dulled your senses faster and deeper than any recreational drug on the market .	0	negative	17
1610	the film brilliantly shines on all the characters , as the direction is intelligently accomplished .	1	positive	16
1478	as the two leads , lathan and diggs are charming and have chemistry both as friends and lovers .	1	positive	19
1341	maneuvers skillfully through the plot's hot brine -- until it's undone by the sogginess of its contemporary characters , and actors .	1	positive	22
4906	a sour attempt at making a farrelly brothers-style , down-and-dirty laugher for the female set .	0	negative	16
7334	this isn't a movie ; it's a symptom .	0	negative	9
5220	at the one-hour mark , herzog simply runs out of ideas and the pace turns positively leaden as the movie sputters to its inevitable tragic conclusion .	0	negative	27
2207	life on the rez is no picnic : this picture shows you why .	1	positive	14
2341	a sexy , surprising romance . . . idemoto and kim make a gorgeous pair . . . their scenes brim with sexual possibility and emotional danger .	1	positive	28
119	will assuredly rank as one of the cleverest , most deceptively amusing comedies of the year .	1	positive	17
3518	another trumpet blast that there may be a new mexican cinema a-bornin' .	1	positive	13
4239	this is a dark , gritty , sometimes funny little gem .	1	positive	12
1491	based on a devilishly witty script by heather mcgowan and niels mueller , the film gets great laughs , but never at the expense of its characters	1	positive	27
7561	impostor is a step down for director gary fleder .	0	negative	10
399	a brutal and funny work . nicole holofcenter , the insightful writer/director responsible for this illuminating comedy doesn't wrap the proceedings up neatly but the ideas tie together beautifully .	1	positive	30
904	sade achieves the near-impossible : it turns the marquis de sade into a dullard .	0	negative	15
1192	unfortunately , it appears that [jackie] chan's us influence is starting to show in his hong kong films .	1	positive	19
6795	despite its title , amy's orgasm is not a porno , though it is as tedious as one .	0	negative	19
3973	there's not much to fatale , outside of its stylish surprises . . . but that's ok .	1	positive	18
2154	if the film has a problem , its shortness disappoints : you want the story to go on and on .	1	positive	21
142	as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten .	1	positive	31
963	it's a mystery how the movie could be released in this condition .	0	negative	13
3114	para hitler , o mundo era sua tela ; e o horror , seu pincel . e max retrata este fato com elegante abandono , numa triste constatação da realidade histórica .	1	positive	32
652	it's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .	0	negative	21
298	this clever caper movie has twists worthy of david mamet and is enormous fun for thinking audiences .	1	positive	18
6839	the advantage of a postapocalyptic setting is that it can be made on the cheap . any rock pile will do for a set . reign of fire has the disadvantage of also looking cheap .	0	negative	36
4656	it's a glorified sitcom , and a long , unfunny one at that .	0	negative	14
1945	the film is visually dazzling , the depicted events dramatic , funny and poignant .	1	positive	15
5826	even in this less-than-magic kingdom , reese rules .	0	negative	9
6222	on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality .	0	negative	21
57	can i admit xxx is as deep as a petri dish and as well-characterized as a telephone book but still say it was a guilty pleasure ?	1	positive	27
4473	the whole affair is as predictable as can be .	0	negative	10
959	you have no affinity for most of the characters . nothing about them is attractive . what they see in each other also is difficult to fathom .	0	negative	28
8460	depressingly thin and exhaustingly contrived . only masochistic moviegoers need apply .	0	negative	12
4027	using an endearing cast , writer/director dover kosashvili takes a slightly dark look at relationships , both sexual and kindred .	1	positive	21
4918	writer-director stephen gaghan has made the near-fatal mistake of being what the english call 'too clever by half . '	0	negative	20
7182	the rest of the plot is impossible to explain without blowing whatever tension there is , although it's more comedy than suspense de palma creates .	0	negative	26
2982	the obnoxious title character provides the drama that gives added clout to this doc .	1	positive	15
3115	aside from rohmer's bold choices regarding point of view , the lady and the duke represents the filmmaker's lifelong concern with formalist experimentation in cinematic art .	1	positive	27
4865	the drama was so uninspiring that even a story immersed in love , lust , and sin couldn't keep my attention .	0	negative	22
7515	sc2 is an autopilot hollywood concoction lacking in imagination and authentic christmas spirit , yet it's geared toward an audience full of masters of both .	0	negative	26
7433	nothing more than a stifling morality tale dressed up in peekaboo clothing .	0	negative	13
2935	michael moore has perfected the art of highly entertaining , self-aggrandizing , politically motivated documentary-making , and he's got as potent a topic as ever here .	1	positive	27
4827	so devoid of pleasure or sensuality that it cannot even be dubbed hedonistic .	0	negative	14
248	presents an astute appraisal of middle american musical torpor and the desperate struggle to escape it .	1	positive	17
3021	this filmed tosca -- not the first , by the way -- is a pretty good job , if it's filmed tosca that you want . i'll stay with the stage versions , however , which bite cleaner , and deeper .	1	positive	42
1941	alain choquart's camera barely stops moving , portraying both the turmoil of the time and giving conduct a perpetual sense of urgency , which , for a film that takes nearly three hours to unspool , is both funny and irritating .	1	positive	42
5348	don't even bother to rent this on video .	0	negative	9
8114	horrendously amateurish filmmaking that is plainly dull and visually ugly when it isn't incomprehensible .	0	negative	15
7865	it has more in common with a fireworks display than a movie , which normally is expected to have characters and a storyline .	0	negative	24
3761	a tasty appetizer that leaves you wanting more .	1	positive	9
3965	bluer than the atlantic and more biologically detailed than an autopsy , the movie . . . is , also , frequently hilarious .	1	positive	24
1328	the film may appear naked in its narrative form . . . but it goes deeper than that , to fundamental choices that include the complexity of the catholic doctrine	1	positive	30
8104	there's a neat twist , subtly rendered , that could have wrapped things up at 80 minutes , but kang tacks on three or four more endings .	0	negative	28
8269	it's surprisingly bland despite the heavy doses of weird performances and direction .	0	negative	13
5420	for those of us who respond more strongly to storytelling than computer-generated effects , the new star wars installment hasn't escaped the rut dug by the last one .	0	negative	29
6962	looks like a high school film project completed the day before it was due .	0	negative	15
7348	gooding and coburn are both oscar winners , a fact which , as you watch them clumsily mugging their way through snow dogs , seems inconceivable .	0	negative	27
1737	. . . a triumph of emotionally and narratively complex filmmaking .	1	positive	12
5719	before it takes a sudden turn and devolves into a bizarre sort of romantic comedy , steven shainberg's adaptation of mary gaitskill's harrowing short story . . . is a brilliantly played , deeply unsettling experience .	0	negative	37
4333	"maybe leblanc thought , "" hey , the movie about the baseball-playing monkey was worse . """	0	negative	17
8379	hip-hop rarely comes alive as its own fire-breathing entity in this picture .	0	negative	13
4509	an alternately raucous and sappy ethnic sitcom . . . you'd be wise to send your regrets .	0	negative	18
2446	an engrossing portrait of a man whose engaging manner and flamboyant style made him a truly larger-than-life character .	1	positive	19
6440	the story's so preposterous that i didn't believe it for a second , despite the best efforts of everyone involved .	0	negative	21
3883	the off-center humor is a constant , and the ensemble gives it a buoyant delivery .	1	positive	16
7652	no big whoop , nothing new to see , zero thrills , too many flashbacks and a choppy ending make for a bad film .	0	negative	25
1470	cool ? this movie is a snow emergency .	1	positive	9
6516	"not every animated film from disney will become a classic , but forgive me if i've come to expect more from this studio than some 79-minute after-school "" cartoon "" ."	0	negative	31
8172	strictly a 'guy's film' in the worst sense of the expression .	0	negative	12
4621	eventually , they will have a showdown , but , by then , your senses are as mushy as peas and you don't care who fires the winning shot .	0	negative	30
6522	william shatner , as a pompous professor , is the sole bright spot . . .	0	negative	16
707	as a belated nod to some neglected all-stars , standing in the shadows of motown is cultural history of the best kind : informative , revealing and richly entertaining .	1	positive	30
5460	wes craven's presence is felt ; not the craven of 'a nightmare on elm street' or 'the hills have eyes , ' but the sad schlock merchant of 'deadly friend . '	0	negative	32
550	tykwer's surface flash isn't just a poor fit with kieslowski's lyrical pessimism ; it completely contradicts everything kieslowski's work aspired to , including the condition of art .	0	negative	28
886	koepp's screenplay isn't nearly surprising or clever enough to sustain a reasonable degree of suspense on its own .	0	negative	19
5700	the predominantly amateur cast is painful to watch , so stilted and unconvincing are the performances .	0	negative	17
7244	this film is full of rabbits . brimful . but like most rabbits , it seems to lack substance .	0	negative	20
2560	it may not be history  but then again , what if it is ?  but it makes for one of the most purely enjoyable and satisfying evenings at the movies i've had in a while .	1	positive	38
1722	. . . the first 2/3 of the film are incredibly captivating and insanely funny , thanks in part to interesting cinematic devices ( cool visual backmasking ) , a solid cast , and some wickedly sick and twisted humor . . .	1	positive	43
8041	bella is the picture of health with boundless energy until a few days before she dies . this is absolutely and completely ridiculous and an insult to every family whose mother has suffered through the horrible pains of a death by cancer .	0	negative	43
5012	90 punitive minutes of eardrum-dicing gunplay , screeching-metal smashups , and flaccid odd-couple sniping .	0	negative	15
2809	an undeniably gorgeous , terminally smitten document of a troubadour , his acolytes , and the triumph of his band .	1	positive	21
3040	a well-done film of a self-reflexive , philosophical nature .	1	positive	10
978	further sad evidence that tom tykwer , director of the resonant and sense-spinning run lola run , has turned out to be a one-trick pony -- a maker of softheaded metaphysical claptrap .	0	negative	33
7238	we may get the full visceral impact of a ruthless army on the warpath but no sense of the devilish complexity of the balkans conflict .	0	negative	26
6152	american chai encourages rueful laughter at stereotypes only an indian-american would recognize . and the lesson , in the end , is nothing new .	0	negative	25
415	i'm happy to have seen it -- not as an alternate version , but as the ultimate exercise in viewing deleted scenes .	1	positive	23
2726	the powerful success of read my lips with such provocative material shows why , after only three films , director/co-writer jacques audiard , though little known in this country , belongs in the very top rank of french filmmakers .	1	positive	40
3445	an ambitious movie that , like shiner's organizing of the big fight , pulls off enough of its effects to make up for the ones that don't come off .	1	positive	30
2936	a fine production with splendid singing by angela gheorghiu , ruggero raimondi , and roberto alagna .	1	positive	17
1305	". . . with "" the bourne identity "" we return to the more traditional action genre ."	1	positive	18
3093	vampire epic succeeds as spooky action-packed trash of the highest order .	1	positive	12
6486	a strong first quarter , slightly less so second quarter , and average second half .	0	negative	16
5670	the original wasn't a good movie but this remake makes it look like a masterpiece !	0	negative	16
3531	kids five and up will be delighted with the fast , funny , and even touching story . parents may even find that it goes by quickly , because it has some of the funniest jokes of any movie this year , including those intended for adults .	1	positive	48
7606	a profoundly stupid affair , populating its hackneyed and meanspirited storyline with cardboard characters and performers who value cash above credibility .	0	negative	22
3385	nair's cast is so large it's altman-esque , but she deftly spins the multiple stories in a vibrant and intoxicating fashion .	1	positive	22
7240	chaotic , self-indulgent and remarkably ugly to look at , it's . . . like a series of pretentiously awful student films strung together into one feature-length horror .	0	negative	29
8402	godard's ode to tackling life's wonderment is a rambling and incoherent manifesto about the vagueness of topical excess . . . in praise of love remains a ponderous and pretentious endeavor that's unfocused and tediously exasperating .	0	negative	37
7579	think the lion king redone for horses , with fewer deliberate laughs , more inadvertent ones and stunningly trite songs by bryan adams , the world's most generic rock star .	0	negative	31
4483	although disney follows its standard formula in this animated adventure , it feels more forced than usual .	0	negative	18
151	the film was immensely enjoyable thanks to great performances by both steve buscemi and rosario dawson . . .	1	positive	19
7825	like being invited to a classy dinner soiree and not knowing anyone . you leave the same way you came -- a few tasty morsels under your belt , but no new friends .	0	negative	34
3356	a cultural wildcard experience : wacky , different , unusual , even nutty .	1	positive	14
2250	shattering , devastating documentary on two maladjusted teens in a downward narcotized spiral . extraordinary debut from josh koury .	1	positive	20
7412	this insufferable movie is meant to make you think about existential suffering . instead , it'll only put you to sleep .	0	negative	22
3898	a refreshing change from the usual whoopee-cushion effort aimed at the youth market .	1	positive	14
703	the sight of the name bruce willis brings to mind images of a violent battlefield action picture , but the film has a lot more on its mind--maybe too much .	0	negative	31
3843	there's very little sense to what's going on here , but the makers serve up the cliches with considerable dash .	1	positive	21
2101	the search for redemption makes for a touching love story , mainly because blanchett and ribisi compellingly tap into a spiritual aspect of their characters' suffering .	1	positive	27
3572	simply and eloquently articulates the tangled feelings of particular new yorkers deeply touched by an unprecedented tragedy .	1	positive	18
6687	the enormous comic potential of an oafish idiot impersonating an aristocrat remains sadly unrealized .	0	negative	15
4759	i've had more interesting -- and , dare i say , thematically complex -- bowel movements than this long-on-the-shelf , point-and-shoot exercise in gimmicky crime drama .	0	negative	27
6118	with its dogged hollywood naturalism and the inexorable passage of its characters toward sainthood , windtalkers is nothing but a sticky-sweet soap .	0	negative	23
852	dark , resonant , inventively detailed and packed with fleet turns of plot and a feast of visual amazement .	1	positive	20
531	it's nice to see piscopo again after all these years , and chaykin and headly are priceless .	1	positive	18
7977	it all unfolds predictably , and the adventures that happen along the way seem repetitive and designed to fill time , providing no real sense of suspense .	0	negative	28
3926	a tour de force drama about the astonishingly pivotal role of imagination in the soulful development of two rowdy teenagers .	1	positive	21
3011	romantic comedy and dogme 95 filmmaking may seem odd bedfellows , but they turn out to be delightfully compatible here .	1	positive	21
319	while this film is not in the least surprising , it is still ultimately very satisfying . think of it as a sort of comfort food for the mind .	1	positive	30
1291	worth watching for dong jie's performance -- and for the way it documents a culture in the throes of rapid change .	1	positive	22
532	in his debut as a film director , denzel washington delivers a lean and engaging work .	1	positive	17
6954	another big , dumb action movie in the vein of xxx , the transporter is riddled with plot holes big enough for its titular hero to drive his sleek black bmw through .	0	negative	33
1807	predictable storyline and by-the-book scripting is all but washed away by sumptuous ocean visuals and the cinematic stylings of director john stockwell .	1	positive	23
3802	a four star performance from kevin kline who unfortunately works with a two star script .	1	positive	16
6820	these people wouldn't know subtle characterization if it put on a giant furry monster costume and then gave them a lapdance .	0	negative	22
8437	staggers between flaccid satire and what is supposed to be madcap farce .	0	negative	13
6337	stars matthew perry and elizabeth hurley illicit more than a chuckle , and more jokes land than crash , but ultimately serving sara doesn't distinguish itself from the herd .	0	negative	30
937	an enchanting film that presents an audacious tour of the past and takes within its warm embrace the bounties of cultural artifacts inside st . petersburg's hermitage museum .	1	positive	29
3255	rodriguez has the chops of a smart-aleck film school brat and the imagination of a big kid . . .	1	positive	20
7909	. . . an incredibly heavy-handed , manipulative dud that feels all too familiar .	0	negative	15
4066	like the full monty , this is sure to raise audience's spirits and leave them singing long after the credits roll .	1	positive	22
5788	the best that can be said about the work here of scottish director ritchie . . . is that he obviously doesn't have his heart in it .	0	negative	28
886	the actors are so terrific at conveying their young angst , we do indeed feel for them .	1	positive	18
6927	needless to say , the dramatics that follow are utter hooey .	0	negative	12
7721	the obligatory break-ups and hook-ups don't seem to have much emotional impact on the characters .	0	negative	16
212	an unabashedly schmaltzy and thoroughly enjoyable true story .	1	positive	9
5380	ruh-roh ! romething's really wrong with this ricture !	0	negative	9
4447	though the film is well-intentioned , one could rent the original and get the same love story and parable .	0	negative	20
5864	just an average comedic dateflick but not a waste of time .	0	negative	12
2904	the way the roundelay of partners functions , and the interplay within partnerships and among partnerships and the general air of gator-bashing are consistently delightful .	1	positive	26
7241	bears resemblance to , and shares the weaknesses of , too many recent action-fantasy extravaganzas in which special effects overpower cogent story-telling and visual clarity during the big action sequences .	0	negative	31
6212	like the chelsea's denizens . . . burdette's collage-form scenario tends to over-romanticize the spiritual desolation of the struggling artiste .	0	negative	21
6675	"plays like one of those conversations that comic book guy on "" the simpsons "" has ."	0	negative	17
4715	this flat run at a hip-hop tootsie is so poorly paced you could fit all of pootie tang in between its punchlines .	0	negative	23
1937	the mothman prophecies is best when illustrating the demons bedevilling the modern masculine journey .	1	positive	15
3455	more good than great but freeman and judd make it work .	1	positive	12
421	an inspiring and heart-affecting film about the desperate attempts of vietnamese refugees living in u . s . relocation camps to keep their hopes alive in 1975 .	1	positive	28
6121	better to just call it abc kiarostami . for aids and africa are nothing more than part of the scenery .	0	negative	21
728	the punch lines that miss , unfortunately , outnumber the hits by three-to-one . but death to smoochy keeps firing until the bitter end .	0	negative	25
2846	the climactic events are so well realized that you may forget all about the original conflict , just like the movie does	1	positive	22
396	it's easy to be cynical about documentaries in which underdogs beat the odds and the human spirit triumphs , but westbrook's foundation and dalrymple's film earn their uplift .	1	positive	29
2219	while there are times when the film's reach exceeds its grasp , the production works more often than it doesn't .	1	positive	21
8173	there's some good material in their story about a retail clerk wanting more out of life , but the movie too often spins its wheels with familiar situations and repetitive scenes .	0	negative	32
997	by taking entertainment tonight subject matter and giving it humor and poignancy , auto focus becomes both gut-bustingly funny and crushingly depressing .	1	positive	23
5213	after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot .	0	negative	30
1086	a sober and affecting chronicle of the leveling effect of loss .	1	positive	12
5643	an overstylized , puréed mélange of sex , psychology , drugs and philosophy . sometimes entertaining , sometimes indulgent -- but never less than pure wankery .	0	negative	27
1079	a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court's extradition chess game and the regime's talking-head survivors .	1	positive	28
115	in scope , ambition and accomplishment , children of the century . . . takes kurys' career to a whole new level .	1	positive	23
4153	a film that will enthrall the whole family .	1	positive	9
7852	the satire is unfocused , while the story goes nowhere .	0	negative	11
7100	the film apparently takes place in a fantasy world where people in hotel hallways recite poetry in voice-over instead of speaking to each other .	0	negative	25
549	an uneven but intriguing drama that is part homage and part remake of the italian masterpiece .	1	positive	17
129	it is nature against progress . in fessenden's horror trilogy , this theme has proved important to him and is especially so in the finale .	1	positive	26
4161	both grant and hoult carry the movie because they are believable as people -- flawed , assured of the wrong things , and scared to admit how much they may really need the company of others .	1	positive	37
676	a modest pleasure that accomplishes its goals with ease and confidence .	1	positive	12
5033	a sub-formulaic slap in the face to seasonal cheer .	0	negative	10
